data;tipo;categoria;descricao;valor;metodo
2026-02-05T21:12:00.000Z;ENTRADA;Venda;Venda #685958;255;Pix
2026-02-05T20:38:00.000Z;ENTRADA;Venda;Venda #685958;16;Pix
2026-02-05T20:31:00.000Z;ENTRADA;Venda;Venda #685958;360;Pix
2026-02-05T19:37:00.000Z;ENTRADA;Venda;Venda #685958;8;Pix
2026-02-05T19:36:00.000Z;ENTRADA;Venda;Venda #685958;16;Pix
2026-02-05T17:42:00.000Z;ENTRADA;Venda;Venda #685958;90;Pix
2026-02-05T17:34:00.000Z;ENTRADA;Venda;Venda #685958;255;Pix
2026-02-05T17:26:00.000Z;ENTRADA;Venda;Venda #685958;8;Pix
2026-02-05T15:56:00.000Z;ENTRADA;Venda;Venda #685958;120;Pix
2026-02-04T22:25:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-02-04T21:10:00.000Z;ENTRADA;Venda;Venda #685958;85;Pix
2026-02-04T19:25:00.000Z;ENTRADA;Venda;Venda #685958;8;Pix
2026-02-04T19:05:00.000Z;ENTRADA;Venda;Venda #685958;85;Pix
2026-02-04T19:01:00.000Z;ENTRADA;Venda;Venda #685958;90;Pix
2026-02-04T18:28:00.000Z;ENTRADA;Venda;Venda #685958;85;Pix
2026-02-04T18:09:00.000Z;ENTRADA;Venda;Venda #685958;90;Pix
2026-02-04T17:04:00.000Z;ENTRADA;Venda;Venda #685958;8;Pix
2026-02-04T16:57:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-02-04T16:39:00.000Z;ENTRADA;Venda;Venda #685958;45;Pix
2026-02-04T16:34:00.000Z;ENTRADA;Venda;Venda #685958;135;Pix
2026-02-04T16:27:00.000Z;ENTRADA;Venda;Venda #685958;120;Pix
2026-02-03T22:33:00.000Z;ENTRADA;Venda;Venda #685958;8;Pix
2026-02-03T21:55:00.000Z;ENTRADA;Venda;Venda #685958;120;Pix
2026-02-03T21:54:00.000Z;ENTRADA;Venda;Venda #685958;240;Pix
2026-02-03T20:51:00.000Z;ENTRADA;Venda;Venda #685958;120;Pix
2026-02-03T20:41:00.000Z;ENTRADA;Venda;Venda #685958;85;Pix
2026-02-03T19:50:00.000Z;ENTRADA;Venda;Venda #685958;8;Pix
2026-02-03T18:57:00.000Z;ENTRADA;Venda;Venda #685958;90;Pix
2026-02-03T18:45:00.000Z;ENTRADA;Venda;Venda #685958;135;Pix
2026-02-03T15:41:00.000Z;ENTRADA;Venda;Venda #685958;360;Pix
2026-02-03T15:31:00.000Z;ENTRADA;Venda;Venda #685958;16;Pix
2026-02-03T03:00:00.000Z;SAÍDA;DESPESAS OPERACIONAIS;Compra de Insumos Reposição;-2181.138772778906;Dinheiro/Banco
2026-02-02T22:48:00.000Z;ENTRADA;Venda;Venda #685958;8;Pix
2026-02-02T22:20:00.000Z;ENTRADA;Venda;Venda #685958;85;Pix
2026-02-02T21:39:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-02-02T21:27:00.000Z;ENTRADA;Venda;Venda #685958;8;Pix
2026-02-02T21:24:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-02-02T21:04:00.000Z;ENTRADA;Venda;Venda #685958;24;Pix
2026-02-02T20:30:00.000Z;ENTRADA;Venda;Venda #685958;16;Pix
2026-02-02T20:27:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-02-02T19:39:00.000Z;ENTRADA;Venda;Venda #685958;120;Pix
2026-02-02T18:51:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-02-02T18:48:00.000Z;ENTRADA;Venda;Venda #685958;16;Pix
2026-02-02T17:54:00.000Z;ENTRADA;Venda;Venda #685958;120;Pix
2026-02-02T15:51:00.000Z;ENTRADA;Venda;Venda #685958;85;Pix
2026-01-30T22:56:00.000Z;ENTRADA;Venda;Venda #685958;135;Pix
2026-01-30T22:33:00.000Z;ENTRADA;Venda;Venda #685958;135;Pix
2026-01-30T22:16:00.000Z;ENTRADA;Venda;Venda #685958;8;Pix
2026-01-30T21:26:00.000Z;ENTRADA;Venda;Venda #685958;90;Pix
2026-01-30T21:19:00.000Z;ENTRADA;Venda;Venda #685958;8;Pix
2026-01-30T21:14:00.000Z;ENTRADA;Venda;Venda #685958;24;Pix
2026-01-30T21:14:00.000Z;ENTRADA;Venda;Venda #685958;45;Pix
2026-01-30T21:14:00.000Z;ENTRADA;Venda;Venda #685958;135;Pix
2026-01-30T21:12:00.000Z;ENTRADA;Venda;Venda #685958;85;Pix
2026-01-30T21:04:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-01-30T21:04:00.000Z;ENTRADA;Venda;Venda #685958;24;Pix
2026-01-30T21:02:00.000Z;ENTRADA;Venda;Venda #685958;135;Pix
2026-01-30T20:58:00.000Z;ENTRADA;Venda;Venda #685958;85;Pix
2026-01-30T20:45:00.000Z;ENTRADA;Venda;Venda #685958;16;Pix
2026-01-30T20:44:00.000Z;ENTRADA;Venda;Venda #685958;240;Pix
2026-01-30T20:40:00.000Z;ENTRADA;Venda;Venda #685958;135;Pix
2026-01-30T20:34:00.000Z;ENTRADA;Venda;Venda #685958;120;Pix
2026-01-30T20:26:00.000Z;ENTRADA;Venda;Venda #685958;90;Pix
2026-01-30T20:23:00.000Z;ENTRADA;Venda;Venda #685958;45;Pix
2026-01-30T20:16:00.000Z;ENTRADA;Venda;Venda #685958;24;Pix
2026-01-30T19:53:00.000Z;ENTRADA;Venda;Venda #685958;120;Pix
2026-01-30T19:51:00.000Z;ENTRADA;Venda;Venda #685958;16;Pix
2026-01-30T19:31:00.000Z;ENTRADA;Venda;Venda #685958;120;Pix
2026-01-30T19:20:00.000Z;ENTRADA;Venda;Venda #685958;85;Pix
2026-01-30T19:01:00.000Z;ENTRADA;Venda;Venda #685958;24;Pix
2026-01-30T19:00:00.000Z;ENTRADA;Venda;Venda #685958;8;Pix
2026-01-30T18:57:00.000Z;ENTRADA;Venda;Venda #685958;85;Pix
2026-01-30T18:39:00.000Z;ENTRADA;Venda;Venda #685958;120;Pix
2026-01-30T18:35:00.000Z;ENTRADA;Venda;Venda #685958;120;Pix
2026-01-30T18:29:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-01-30T18:23:00.000Z;ENTRADA;Venda;Venda #685958;240;Pix
2026-01-30T18:19:00.000Z;ENTRADA;Venda;Venda #685958;255;Pix
2026-01-30T18:16:00.000Z;ENTRADA;Venda;Venda #685958;90;Pix
2026-01-30T18:11:00.000Z;ENTRADA;Venda;Venda #685958;255;Pix
2026-01-30T18:10:00.000Z;ENTRADA;Venda;Venda #685958;360;Pix
2026-01-30T17:58:00.000Z;ENTRADA;Venda;Venda #685958;85;Pix
2026-01-30T17:56:00.000Z;ENTRADA;Venda;Venda #685958;120;Pix
2026-01-30T17:37:00.000Z;ENTRADA;Venda;Venda #685958;24;Pix
2026-01-30T17:36:00.000Z;ENTRADA;Venda;Venda #685958;45;Pix
2026-01-30T17:29:00.000Z;ENTRADA;Venda;Venda #685958;240;Pix
2026-01-30T17:23:00.000Z;ENTRADA;Venda;Venda #685958;135;Pix
2026-01-30T17:11:00.000Z;ENTRADA;Venda;Venda #685958;360;Pix
2026-01-30T17:10:00.000Z;ENTRADA;Venda;Venda #685958;90;Pix
2026-01-30T17:00:00.000Z;ENTRADA;Venda;Venda #685958;8;Pix
2026-01-30T16:46:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-01-30T16:44:00.000Z;ENTRADA;Venda;Venda #685958;255;Pix
2026-01-30T16:43:00.000Z;ENTRADA;Venda;Venda #685958;120;Pix
2026-01-30T16:18:00.000Z;ENTRADA;Venda;Venda #685958;85;Pix
2026-01-30T16:02:00.000Z;ENTRADA;Venda;Venda #685958;360;Pix
2026-01-30T16:01:00.000Z;ENTRADA;Venda;Venda #685958;135;Pix
2026-01-30T15:44:00.000Z;ENTRADA;Venda;Venda #685958;120;Pix
2026-01-30T15:33:00.000Z;ENTRADA;Venda;Venda #685958;45;Pix
2026-01-30T15:17:00.000Z;ENTRADA;Venda;Venda #685958;240;Pix
2026-01-30T15:13:00.000Z;ENTRADA;Venda;Venda #685958;45;Pix
2026-01-30T15:09:00.000Z;ENTRADA;Venda;Venda #685958;24;Pix
2026-01-30T15:07:00.000Z;ENTRADA;Venda;Venda #685958;85;Pix
2026-01-30T03:00:00.000Z;SAÍDA;DESPESAS OPERACIONAIS;Compra de Insumos Reposição;-2423.7438213704017;Dinheiro/Banco
2026-01-29T22:41:00.000Z;ENTRADA;Venda;Venda #685958;240;Pix
2026-01-29T22:25:00.000Z;ENTRADA;Venda;Venda #685958;135;Pix
2026-01-29T21:44:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-01-29T21:19:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-01-29T21:13:00.000Z;ENTRADA;Venda;Venda #685958;135;Pix
2026-01-29T21:11:00.000Z;ENTRADA;Venda;Venda #685958;360;Pix
2026-01-29T21:10:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-01-29T21:05:00.000Z;ENTRADA;Venda;Venda #685958;45;Pix
2026-01-29T20:49:00.000Z;ENTRADA;Venda;Venda #685958;135;Pix
2026-01-29T20:46:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-01-29T20:27:00.000Z;ENTRADA;Venda;Venda #685958;240;Pix
2026-01-29T20:25:00.000Z;ENTRADA;Venda;Venda #685958;255;Pix
2026-01-29T20:16:00.000Z;ENTRADA;Venda;Venda #685958;135;Pix
2026-01-29T19:40:00.000Z;ENTRADA;Venda;Venda #685958;120;Pix
2026-01-29T19:32:00.000Z;ENTRADA;Venda;Venda #685958;255;Pix
2026-01-29T19:27:00.000Z;ENTRADA;Venda;Venda #685958;85;Pix
2026-01-29T19:02:00.000Z;ENTRADA;Venda;Venda #685958;85;Pix
2026-01-29T18:56:00.000Z;ENTRADA;Venda;Venda #685958;16;Pix
2026-01-29T18:44:00.000Z;ENTRADA;Venda;Venda #685958;85;Pix
2026-01-29T18:37:00.000Z;ENTRADA;Venda;Venda #685958;90;Pix
2026-01-29T18:34:00.000Z;ENTRADA;Venda;Venda #685958;90;Pix
2026-01-29T18:33:00.000Z;ENTRADA;Venda;Venda #685958;135;Pix
2026-01-29T18:24:00.000Z;ENTRADA;Venda;Venda #685958;360;Pix
2026-01-29T18:17:00.000Z;ENTRADA;Venda;Venda #685958;16;Pix
2026-01-29T18:16:00.000Z;ENTRADA;Venda;Venda #685958;85;Pix
2026-01-29T18:09:00.000Z;ENTRADA;Venda;Venda #685958;120;Pix
2026-01-29T18:07:00.000Z;ENTRADA;Venda;Venda #685958;85;Pix
2026-01-29T17:53:00.000Z;ENTRADA;Venda;Venda #685958;16;Pix
2026-01-29T17:42:00.000Z;ENTRADA;Venda;Venda #685958;24;Pix
2026-01-29T17:37:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-01-29T17:33:00.000Z;ENTRADA;Venda;Venda #685958;90;Pix
2026-01-29T17:12:00.000Z;ENTRADA;Venda;Venda #685958;360;Pix
2026-01-29T17:05:00.000Z;ENTRADA;Venda;Venda #685958;135;Pix
2026-01-29T17:00:00.000Z;ENTRADA;Venda;Venda #685958;24;Pix
2026-01-29T16:51:00.000Z;ENTRADA;Venda;Venda #685958;90;Pix
2026-01-29T16:39:00.000Z;ENTRADA;Venda;Venda #685958;85;Pix
2026-01-29T16:39:00.000Z;ENTRADA;Venda;Venda #685958;120;Pix
2026-01-29T16:38:00.000Z;ENTRADA;Venda;Venda #685958;360;Pix
2026-01-29T16:19:00.000Z;ENTRADA;Venda;Venda #685958;360;Pix
2026-01-29T16:15:00.000Z;ENTRADA;Venda;Venda #685958;120;Pix
2026-01-29T16:13:00.000Z;ENTRADA;Venda;Venda #685958;16;Pix
2026-01-29T16:04:00.000Z;ENTRADA;Venda;Venda #685958;90;Pix
2026-01-29T16:00:00.000Z;ENTRADA;Venda;Venda #685958;120;Pix
2026-01-29T15:49:00.000Z;ENTRADA;Venda;Venda #685958;255;Pix
2026-01-29T15:21:00.000Z;ENTRADA;Venda;Venda #685958;90;Pix
2026-01-29T15:14:00.000Z;ENTRADA;Venda;Venda #685958;24;Pix
2026-01-29T15:09:00.000Z;ENTRADA;Venda;Venda #685958;135;Pix
2026-01-28T22:56:00.000Z;ENTRADA;Venda;Venda #685958;8;Pix
2026-01-28T22:55:00.000Z;ENTRADA;Venda;Venda #685958;120;Pix
2026-01-28T22:53:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-01-28T22:47:00.000Z;ENTRADA;Venda;Venda #685958;16;Pix
2026-01-28T22:39:00.000Z;ENTRADA;Venda;Venda #685958;8;Pix
2026-01-28T22:24:00.000Z;ENTRADA;Venda;Venda #685958;120;Pix
2026-01-28T22:19:00.000Z;ENTRADA;Venda;Venda #685958;45;Pix
2026-01-28T22:16:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-01-28T22:07:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-01-28T22:01:00.000Z;ENTRADA;Venda;Venda #685958;255;Pix
2026-01-28T21:25:00.000Z;ENTRADA;Venda;Venda #685958;240;Pix
2026-01-28T21:22:00.000Z;ENTRADA;Venda;Venda #685958;24;Pix
2026-01-28T21:09:00.000Z;ENTRADA;Venda;Venda #685958;90;Pix
2026-01-28T21:06:00.000Z;ENTRADA;Venda;Venda #685958;120;Pix
2026-01-28T21:06:00.000Z;ENTRADA;Venda;Venda #685958;16;Pix
2026-01-28T20:52:00.000Z;ENTRADA;Venda;Venda #685958;8;Pix
2026-01-28T20:36:00.000Z;ENTRADA;Venda;Venda #685958;85;Pix
2026-01-28T20:31:00.000Z;ENTRADA;Venda;Venda #685958;45;Pix
2026-01-28T20:12:00.000Z;ENTRADA;Venda;Venda #685958;90;Pix
2026-01-28T20:08:00.000Z;ENTRADA;Venda;Venda #685958;120;Pix
2026-01-28T20:05:00.000Z;ENTRADA;Venda;Venda #685958;135;Pix
2026-01-28T20:03:00.000Z;ENTRADA;Venda;Venda #685958;135;Pix
2026-01-28T19:51:00.000Z;ENTRADA;Venda;Venda #685958;8;Pix
2026-01-28T19:46:00.000Z;ENTRADA;Venda;Venda #685958;8;Pix
2026-01-28T19:42:00.000Z;ENTRADA;Venda;Venda #685958;24;Pix
2026-01-28T19:26:00.000Z;ENTRADA;Venda;Venda #685958;45;Pix
2026-01-28T19:10:00.000Z;ENTRADA;Venda;Venda #685958;16;Pix
2026-01-28T18:55:00.000Z;ENTRADA;Venda;Venda #685958;360;Pix
2026-01-28T18:53:00.000Z;ENTRADA;Venda;Venda #685958;255;Pix
2026-01-28T18:44:00.000Z;ENTRADA;Venda;Venda #685958;255;Pix
2026-01-28T18:41:00.000Z;ENTRADA;Venda;Venda #685958;85;Pix
2026-01-28T18:39:00.000Z;ENTRADA;Venda;Venda #685958;255;Pix
2026-01-28T18:17:00.000Z;ENTRADA;Venda;Venda #685958;360;Pix
2026-01-28T18:12:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-01-28T18:11:00.000Z;ENTRADA;Venda;Venda #685958;240;Pix
2026-01-28T17:25:00.000Z;ENTRADA;Venda;Venda #685958;8;Pix
2026-01-28T17:20:00.000Z;ENTRADA;Venda;Venda #685958;85;Pix
2026-01-28T17:15:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-01-28T17:09:00.000Z;ENTRADA;Venda;Venda #685958;24;Pix
2026-01-28T16:57:00.000Z;ENTRADA;Venda;Venda #685958;240;Pix
2026-01-28T16:49:00.000Z;ENTRADA;Venda;Venda #685958;24;Pix
2026-01-28T16:42:00.000Z;ENTRADA;Venda;Venda #685958;24;Pix
2026-01-28T16:29:00.000Z;ENTRADA;Venda;Venda #685958;360;Pix
2026-01-28T16:15:00.000Z;ENTRADA;Venda;Venda #685958;85;Pix
2026-01-28T16:10:00.000Z;ENTRADA;Venda;Venda #685958;240;Pix
2026-01-28T15:43:00.000Z;ENTRADA;Venda;Venda #685958;8;Pix
2026-01-28T15:33:00.000Z;ENTRADA;Venda;Venda #685958;360;Pix
2026-01-28T15:28:00.000Z;ENTRADA;Venda;Venda #685958;360;Pix
2026-01-28T15:03:00.000Z;ENTRADA;Venda;Venda #685958;360;Pix
2026-01-27T22:58:00.000Z;ENTRADA;Venda;Venda #685958;90;Pix
2026-01-27T22:42:00.000Z;ENTRADA;Venda;Venda #685958;24;Pix
2026-01-27T22:23:00.000Z;ENTRADA;Venda;Venda #685958;360;Pix
2026-01-27T22:02:00.000Z;ENTRADA;Venda;Venda #685958;45;Pix
2026-01-27T22:01:00.000Z;ENTRADA;Venda;Venda #685958;240;Pix
2026-01-27T21:44:00.000Z;ENTRADA;Venda;Venda #685958;135;Pix
2026-01-27T21:41:00.000Z;ENTRADA;Venda;Venda #685958;45;Pix
2026-01-27T21:23:00.000Z;ENTRADA;Venda;Venda #685958;16;Pix
2026-01-27T21:22:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-01-27T20:44:00.000Z;ENTRADA;Venda;Venda #685958;90;Pix
2026-01-27T20:40:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-01-27T20:29:00.000Z;ENTRADA;Venda;Venda #685958;360;Pix
2026-01-27T20:23:00.000Z;ENTRADA;Venda;Venda #685958;24;Pix
2026-01-27T20:19:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-01-27T20:18:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-01-27T20:11:00.000Z;ENTRADA;Venda;Venda #685958;24;Pix
2026-01-27T19:53:00.000Z;ENTRADA;Venda;Venda #685958;90;Pix
2026-01-27T19:51:00.000Z;ENTRADA;Venda;Venda #685958;8;Pix
2026-01-27T19:36:00.000Z;ENTRADA;Venda;Venda #685958;45;Pix
2026-01-27T19:25:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-01-27T19:20:00.000Z;ENTRADA;Venda;Venda #685958;85;Pix
2026-01-27T19:19:00.000Z;ENTRADA;Venda;Venda #685958;90;Pix
2026-01-27T19:18:00.000Z;ENTRADA;Venda;Venda #685958;255;Pix
2026-01-27T19:09:00.000Z;ENTRADA;Venda;Venda #685958;24;Pix
2026-01-27T19:04:00.000Z;ENTRADA;Venda;Venda #685958;90;Pix
2026-01-27T19:00:00.000Z;ENTRADA;Venda;Venda #685958;8;Pix
2026-01-27T18:58:00.000Z;ENTRADA;Venda;Venda #685958;135;Pix
2026-01-27T18:54:00.000Z;ENTRADA;Venda;Venda #685958;45;Pix
2026-01-27T18:53:00.000Z;ENTRADA;Venda;Venda #685958;8;Pix
2026-01-27T18:42:00.000Z;ENTRADA;Venda;Venda #685958;240;Pix
2026-01-27T18:18:00.000Z;ENTRADA;Venda;Venda #685958;240;Pix
2026-01-27T18:16:00.000Z;ENTRADA;Venda;Venda #685958;255;Pix
2026-01-27T18:10:00.000Z;ENTRADA;Venda;Venda #685958;45;Pix
2026-01-27T18:04:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-01-27T17:58:00.000Z;ENTRADA;Venda;Venda #685958;16;Pix
2026-01-27T17:58:00.000Z;ENTRADA;Venda;Venda #685958;240;Pix
2026-01-27T17:40:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-01-27T17:35:00.000Z;ENTRADA;Venda;Venda #685958;45;Pix
2026-01-27T17:35:00.000Z;ENTRADA;Venda;Venda #685958;8;Pix
2026-01-27T17:30:00.000Z;ENTRADA;Venda;Venda #685958;90;Pix
2026-01-27T17:25:00.000Z;ENTRADA;Venda;Venda #685958;240;Pix
2026-01-27T17:19:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-01-27T17:18:00.000Z;ENTRADA;Venda;Venda #685958;255;Pix
2026-01-27T17:07:00.000Z;ENTRADA;Venda;Venda #685958;16;Pix
2026-01-27T17:05:00.000Z;ENTRADA;Venda;Venda #685958;16;Pix
2026-01-27T17:00:00.000Z;ENTRADA;Venda;Venda #685958;8;Pix
2026-01-27T16:48:00.000Z;ENTRADA;Venda;Venda #685958;90;Pix
2026-01-27T16:48:00.000Z;ENTRADA;Venda;Venda #685958;120;Pix
2026-01-27T16:44:00.000Z;ENTRADA;Venda;Venda #685958;120;Pix
2026-01-27T16:41:00.000Z;ENTRADA;Venda;Venda #685958;8;Pix
2026-01-27T16:41:00.000Z;ENTRADA;Venda;Venda #685958;240;Pix
2026-01-27T16:28:00.000Z;ENTRADA;Venda;Venda #685958;120;Pix
2026-01-27T16:16:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-01-27T15:54:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-01-27T15:33:00.000Z;ENTRADA;Venda;Venda #685958;16;Pix
2026-01-27T15:19:00.000Z;ENTRADA;Venda;Venda #685958;90;Pix
2026-01-27T15:00:00.000Z;ENTRADA;Venda;Venda #685958;135;Pix
2026-01-27T03:00:00.000Z;SAÍDA;DESPESAS OPERACIONAIS;Compra de Insumos Reposição;-2392.747802977573;Dinheiro/Banco
2026-01-26T22:46:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-01-26T22:43:00.000Z;ENTRADA;Venda;Venda #685958;120;Pix
2026-01-26T22:35:00.000Z;ENTRADA;Venda;Venda #685958;90;Pix
2026-01-26T22:33:00.000Z;ENTRADA;Venda;Venda #685958;85;Pix
2026-01-26T22:27:00.000Z;ENTRADA;Venda;Venda #685958;135;Pix
2026-01-26T22:24:00.000Z;ENTRADA;Venda;Venda #685958;170;Pix
2026-01-26T22:16:00.000Z;ENTRADA;Venda;Venda #685958;255;Pix
2026-01-26T22:01:00.000Z;ENTRADA;Venda;Venda #685958;16;Pix
2026-01-26T21:37:00.000Z;ENTRADA;Venda;Venda #685958;135;Pix
2026-01-26T21:31:00.000Z;ENTRADA;Venda;Venda #685958;240;Pix
2026-01-26T21:28:00.000Z;ENTRADA;Venda;Venda #685958;45;Pix
2026-01-26T21:08:00.000Z;ENTRADA;Venda;Venda #685958;255;Pix
2026-01-26T21:02:00.000Z;ENTRADA;Venda;Venda #685958;360;Pix
2026-01-26T20:55:00.000Z;ENTRADA;Venda;Venda #685958;8;Pix
2026-01-26T20:55:00.000Z;ENTRADA;Venda;Venda #685958;120;Pix
2026-01-26T20:54:00.000Z;ENTRADA;Venda;Venda #685958;45;Pix
2026-01-26T20:53:00.000Z;ENTRADA;Venda;Venda #685958;45;Pix
2026-01-26T20:47:00.000Z;ENTRADA;Venda;Venda #685958;255;Pix
